LINKID,COMNAME,SCINAME,FEAT_LABEL,CLASS,RANK,FED_STATUS,NJ_STATUS,MAX_YEAR,CNT_SOA,FHA_SCDW,FHA_TSC
970056,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2009,1,NA,NA
970057,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2009,1,NA,NA
970058,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2009,1,NA,NA
970059,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2009,1,NA,NA
970060,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2009,1,NA,NA
970066,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2009,1,NA,NA
970067,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2009,1,NA,NA
970068,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2009,2,NA,NA
970069,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2009,1,NA,NA
970074,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2009,1,NA,NA
970075,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2009,1,NA,NA
970076,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2009,1,NA,NA
970096,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2009,2,NA,NA
970097,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2009,4,NA,NA
970098,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2009,1,NA,NA
970106,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2009,2,NA,NA
970107,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2009,4,NA,NA
970108,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2009,1,NA,NA
970109,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2009,1,NA,NA
970118,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2009,1,NA,NA
970119,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2009,1,NA,NA
970120,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2009,1,NA,NA
970161,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2011,1,NA,NA
970162,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2011,1,NA,NA
970174,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2011,1,NA,NA
970175,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2011,1,NA,NA
970186,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2011,1,NA,NA
970187,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2011,1,NA,NA
970228,Osprey,Pandion haliaetus,Nest,Aves,3,NA,State Threatened,2009,1,NA,NA
