LINKID,COMNAME,SCINAME,FEAT_LABEL,CLASS,RANK,FED_STATUS,NJ_STATUS,MAX_YEAR,CNT_SOA,FHA_SCDW,FHA_TSC
710468,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,1998,1,NA,NA
710468,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2013,3,NA,NA
710469,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,1998,1,NA,NA
710469,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2013,3,NA,NA
710470,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2006,26,NA,NA
710470,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2013,5,NA,NA
710470,Northern Myotis,Myotis septentrionalis,Roost Site,Mammalia,5,Federally Listed Threatened,NA,1997,9,NA,NA
710471,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2006,26,NA,NA
710471,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2013,5,NA,NA
710471,Northern Myotis,Myotis septentrionalis,Roost Site,Mammalia,5,Federally Listed Threatened,NA,1997,9,NA,NA
710472,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2006,26,NA,NA
710472,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2013,5,NA,NA
710472,Northern Myotis,Myotis septentrionalis,Roost Site,Mammalia,5,Federally Listed Threatened,NA,1997,9,NA,NA
710473,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2006,26,NA,NA
710473,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2013,5,NA,NA
710473,Northern Myotis,Myotis septentrionalis,Roost Site,Mammalia,5,Federally Listed Threatened,NA,1997,9,NA,NA
710474,Northern Myotis,Myotis septentrionalis,Active Season Sighting,Mammalia,5,Federally Listed Threatened,NA,2006,26,NA,NA
710474,Northern Myotis,Myotis septentrionalis,Hibernaculum,Mammalia,5,Federally Listed Threatened,NA,2013,5,NA,NA
710474,Northern Myotis,Myotis septentrionalis,Roost Site,Mammalia,5,Federally Listed Threatened,NA,1997,9,NA,NA
